A.bte	abbots
Ketchup[Noun]	ketchup
Keule (f)	club
Keule (f)	joint
Keule (f)	leg
Kieferföhre (f)	pine
Kiesel (m)	pebble
Kiesel, Kieselstein	pebble
Kieselstein (m)	pebble
Kieselsteine	pebbles
Killer[Noun]	killer
Kilo (n)	kilo
Kilo (n)	kilogram
Kilogramm (n)	kilogram
Kilometer (m)	kilometer
Kimono[Noun]	kimono
Kind	bambino
Kind (mundartlich)[Noun]	kid
Kind (n)	baby
Kind (n)	child
Kinder (pl)	children
Kindergarten[Noun]	kindergarten
Kindermädchen (n)	nurse
Kindermädchen[Noun]	nanny
Kino (n)	cinema
Kiosk (n)	kiosk
Kirche (f)	church
Kirchenlied (n)	chant
Kirsche (f)	cherry
Kismet, Schicksal[Noun]	kismet
Kiste (f)	chest
Kitsch (n)	kitsch
Klappe[Noun]	flap
Klatsch (m)	gossip
Klatzkoepfigkeit, die	baldness
Klaute (pl)	fees
Klavier (n)	piano
Klecks (m)	dab
Kleidung (f)	clothes
Kleidung (f)	clothing
Kleidung (f)	dress
Kleinanzeige (f)	ad
Kleinbauer	peasant
Kleinbauern	peasants
Kleinbauernstand	peasantry
Kleinbus	minibus
Kleinbus (m)	minibus
Kleinigkeit, die	bagatelle
Kleinkind (n)[Noun]	baby
Kleinstadt (f)	town
Kleptomane[Noun]	kleptomaniac
Kleptomanie[Noun]	kleptomania
Klick (n)	click
Klingel (m)	bell
Klinik (f)	hospital
Klippe (f)	cliff
Klischee (n)	cliché
Kloster	monastery
Klub (m)	club
Klüver (m)	jib
Knabe[Noun]	laddie
Kneifzange (pl)	pliers
Kneipe (f)	joint
Kneipe (f)	tavern
Knie (n)	knee
Kniff (m)	trick
Knoblauch (m)	garlic
Knopf (m)	button
Knorpel (m)	gristle
Knoten (m)	knot
Knoten[Noun]	node
Knoten[Noun]	nodes
Know-how, Wissen[Noun]	knowhow
Knöchel (m)	ankle
Knöchel (m)	knuckle
Knüppel (m)	billy club
Knüppel (m)	club
Koch (m)	cook
Kodepage (m)	code page
Koeder, die	baits
Koeder, masc.[Noun]	bait
Koederer, der	baiter
Koffer (m)	suitcase
Koffer (m)	trunk
Kognak (m)	brandy
Kohl (m)	cabbage
Kohl[Noun]	cabbage
Kohlkopf (m)	cabbage
Kollegium (n)	college
Kollekte (f)	collect
Koller (m)	rage
Kolumbien	columbia
Kombination (f)	combination
Komm mit![Verb]	c'mon
Komma (n)	comma
Kommando[Noun]	command
Kommunikationen (pl)	communications
Kommunist (m)	communist
Kompagnon (m)	partner
Kompakte Scheibe (f)	CD
Kondom (n)	condom
Konferenz (f)	conference
Konfitüre (f)	jam
Kongatrommel (f)	conga drum
Konjugation (f)	conjugation
Kono (pl)	movies
Konservative (m)	conservative
Konsonant (m)	consonant
Konsulat (n)	consulate
Konsum,Verbrauch	consumption
Kontakt (m)	contact
Kontinent (m)	continent
Konto	account
Kontor (n)	office
Kontrolle (f)	check
Kopf (m)	head
Kopfho.rer[Noun]	earphone
Kopfhörer[Noun]	earphones
Kopfsalat (m)	lettuce
Kopfschmerz (m)	headache
Kopfsprung (m)	dive
Kopftuch, das	bandana
Kopie (f)	copy
Kopien (pl)	copies
Koralle (f)	coral
Korb[Noun]	basket
Korbball (m)	basketball
Korn (n)	corn
Kosmetikerin (f)	beautician
Kosmos (m)	cosmos
Kost (f)	fare
Kosta-Rika	Costa Rica
Kosten (f)	cost
Kosten (pl)	charges
Kosten (pl)	fees
Kostüm (n)	costume
Kot (m)	dirt
Kotelette (pl)	chops
Kotteletten (pl)	sideburns
Kraftübertragung (f)	transmission
Krampe (f)	staple
Krampf (m)	cramp
Krankenauto (n)	ambulance
Krankenhaus (n)	hospital
Krankenschwester (f)	nurse
Krankenwagen (m)	ambulance
Krankheit	ailment
Krankheit (f)	illness
Krankheiten	ailments
Kranz (m)	belt
Krapp[Noun]	madder
Kraut (n)	plant
Krawatte (f)	ascot
Krawatte (f)	cravat
Krawatte (f)	necktie
Krawatte (f)	scarf
Krebs (m)	cancer
Krebs (m)	crab
Kredit (m)	credit
Kreide (f)	chalk
Kreis (m)	circle
Kreuser[Noun]	cruiser
Kreuzbein[Noun]	sacrum
Kreuzung (f)	crosswalk
Krieg (m)	war
Krieg[Noun]	warfare
Kriege[Noun]	wars
Krieger[Noun]	warrior
Kriegschiffen[Noun]	warship
Kriegsherr[Noun]	warlord
Kriegsherren[Noun]	warlordism
Kringel, der	bagel
Kringel, die	bagels
Kristall (m)	crystal
Kristophe	Christopher
Krug (m)	jar
Krämpfe (pl)	cramps
Kräuselung (f)	ripple
Ku.chenartikel, Ku.echenware[Noun]	kitchenware
Kuchen	cakes
Kuchen (m)	cake
Kugel (f)	bullet
Kugel (f)	globe
Kuh (f)	cow
Kultur (f)	culture
Kundgebung (f)	demonstration
Kunst (f)	art
Kunstgriff (m)	trick
Kunsthandwerker (m)	artisan
Kunstseide (f)	rayon
Kunststoff (m)	plastic
Kunsttischler (pl)[Noun]	cabinetmakers
Kunsttischler[Noun]	cabinetmaker
Kurven (pl)	curves (in the road)
Kurzsichtigkeit[Noun]	nearsightedness
Kusine (f)	cousin
Kutsche (f)	coach
Kuß (m)	kiss
Kälte (f)	chill
Kälte (f)	cold
Känguruh[Noun]	kangaroo
Käse (f)	cheese
Käse (m)	cheese
Kätzchen (n)	kitten
Köchin (f)	cook
Köln	Cologne
König (m)	king
Königin (f)	queen
Königreich (n)	kingdom
Körper (m)	body
Körperschaft (f)	corporation
Küche (f)	kitchen
Kühle (f)	chill
Kühler (m)	radiator
Kühlschrank (m)	refrigerator
Kükenerbse (f)	chickpea
Künstler (m)	artist
Künstlerin (f)	artist
Kürbis (m)	marrow
Kürschner  (m)	furrier
Kürzung (f)	cut
La.nge[Noun]	length
Labor[Noun]	laboratory
Labyrinth, Irrgarten[Noun]	labyrinth
Lachs (m)	salmon
Lack (m)	paint
Lade (f)	chest
Laden (m)	shop
Ladenbesitzer (m)	shopkeeper
Ladeninhaber (m)	shopkeeper
Lader[Noun]	loader
Lader[Noun]	loaders
Ladung (f)	charge
Ladung (f)	shipment
Lage (f)	lie
Lage (f)	locality
Lage (f)	situation
Lager (n)	bed
Lager (n)	camp
Lagergela.nde	campgrounds
Laib (m)	loaf of bread
Lamm (n)	lamb
Lammhaut[Noun]	lambskin
Lampe (f)	lamp
Land (n)	country
Land (n)	land
Landhaus (n)	villa
Landkarte (f)	map
Landschaft (f)	landscape
Landstraße (f)	highway
Landstreicher (m)	vagrant
Landstrich	region
Landung (f)	landing
Landwirt (m)	farmer
Landwirtschaft	agriculture
Langeweile (f)	boredom
Lappen (m)	rag
Laser (m)	laser
Last (f)	weight
Last[Noun]	load
Lastauto (m)	truck
Lastkahn (m)	barge
Lastkraftwagen (m)	truck
Lastwagen (m)	truck
Laubfrosch (m)	greenback
Lauf (m)	run
Lawinengefahr (f)	avalanche area
Leben (n)	life
Lebensdauer (m)	life
Lebensgefahr (f)	danger
Lebensmittelgeschäft (n)	grocery
Lebensraum[Noun]	habitat
Lebensunterhalt (m)	living
Lebensweise (f)	living
Leber (f)	liver
Leberentzündung (f)	hepatitis
Leblosigkeit[Noun]	inanimateness
Leck[Noun]	leak
Leckage, Flu.ssigkeitsschwund[Noun]	ullage
Leder (n)	leather
Lehne (f)	arm
Lehrer (m)	instructor
Lehrer (m)	teacher
Lehrer[pl.][Noun]	teachers
Lehrerin (f)	teacher
Leib (m)	body
Leichter (m)	barge
Leichtigkeit[Noun]	facility
Leidenschaft (f)	passion
Leine (f)	leash
Leine (f)	line
Leinen (n)	linen
Leinwand (f)	screen
Leise (f)	quiet
Leistung	achievement
Leitartikel (m)	editorial
Leiter (m)	head
Leiter[Noun]	ladder
Leitfäden (pl)	keys
Leitung (f)	line
Leitung (f)	management
Leming[Noun]	lemming
Lemma[Noun]	lemma
Lemmas, Lemmata[Noun]	lemmas
Lemur[Noun]	lemur
Lemuren[Noun]	lemures
Letzte (m)(f)	last
Leuka.mie[Noun]	leukemia
Leute (f)	folk
Leute (f)	people
Lexikon (n)	dictionary
Liberale (m)	liberal
Licht (n)	candle
Licht (n)	light
Lichtbild (n)	photograph
Lichtstift (m)	pen
Liebe (f)	love
Liebhaber (m)	hobby
Liebhaber (m)	lover
Liebhaberei (f)	hobby
Liebhaver (m)	lover
Liebkosung (f)	caress
Liebling[Noun]	darling
Lieferung (f)	delivery
Liege (f)	couch
Liegestuhl (m)	reclining chair
Lift (m)	elevator
Limonade[Noun]	lemonade
Limone (f)	lime
Linden (m)	linden tree
Lineal (n)	ruler
Linie (f)	line
Linien (pl)	lines
Linse (f)	lens
Linsen (pl)	lenses
Lippen (pl)	lips
Lippenstift (m)	lipstick
Liste (f)	list
Liste (f)	schedule
Liter (m)	liter
Literatur (f)	literature
Locher[Noun]	puncher
Locke (f)	lock
Locke[Noun]	curl
Lohn, unternehmen	wage
Lohn[Noun]	wages
Lokal (n)	bar
Lotion (f)	lotion
Lotse (m)	pilot
Lotterie (f)	lottery
Luft (f)	air
Luftbrief (m)	aerogram
Luftpost (f)	aerogram
Luftpost (f)	airmail
Luftpost[Noun]	airmail
Luftrechnung (f)	airbill
Luftspiel	airplay
Luftverkehrsgesellschaft (f)	airline
Lumpen (m)	rag
Lust, Gefallen	zest
Luxus (m)	luxury
Lärmschutzhaube (f)	bonnet
Löffel (m)	spoon
Lösung (f)	key
Löwe (m)	leo
Löwe (m)	lion
Lüge (f)	lie
Lügner (m)	liar
Ma.dchen	maids
Ma.rchen[Noun]	tale
Macaroni[Noun]	macaroni
Machbarkeit[Noun]	feasibility
Machbarkeit[Noun]	feasibleness
Macher[Noun]	maker
Macht (f)	might
Macromoleku.l[Noun]	macromolecule
Macromoleku.le[Noun]	macromolecules
Maedchen[Noun]	gal
Maestro, Dirigent[Noun]	maestro
Magazin (n)	magazine
Magazin (n)	store
Magen (m)	stomach
Magengas (n)	stomach gas
Magenschmerzen (f)	stomach ache
Magier, Zauberer[Noun]	magician
Magiere, Zauberer[Noun]	magicians
Magistergrad (m)	masters degree
Magistrat[Noun]	magistrate
Magnesium[Noun]	magnesia
Magnetba.nder[Noun]	magtapes
Magnetband[Noun]	magtape
Magnete[Noun]	magnets
Magnetfeldmesser[Noun]	magnetometer
Magnetisierbare Materialien[Noun]	magnetizables
Magnetisierer[Noun]	magnetizer
Magnetismen[Noun]	magnetisms
Magnetismus[Adjective]	magnetism
Magnetit (Erz)[Noun]	magnetite
Magnetooptisch[Adjective]	magnetooptic
Magnolie[Noun]	magnolia
Magnum (Name einer Waffe bzw. von Speiseeis)[Noun]	magnum
Mahagoni (n)	mahogany
Mahagonibaum (m)	mahogany
Maharadscha[Noun]	maharaja
Maharadschah[Noun]	maharajah
Mahlzeit (f)	dinner
Mahlzeiten (pl)	meals
Mai	May
Mais (m)	corn
Maischips[Noun]	nachos
Maismehl (n)	cornmeal
Majesta.ten[Noun]	majesties
Major[Noun]	major
Majore[Noun]	majors
Make-up[Noun]	makeup
Makrele (f)	mackerel
Makro[Noun]	macro
Makrone[Noun]	macaroon
Makroo.konomie[Noun]	macroeconomics
Makrophage[Noun]	macrophage
Malerei (f)	painting
Manager (m)	manager
Mandel	almond
Mandeln	almonds
Maniküre (f)	manicure
Mann	man
Mann (m)	husband
Mann (m)	male
Mann (m)	man
Mansion (f)	villa
Mantel (m)	overcoat
Mantel[Noun]	coat
Manuellgetriebe (f)	manual transmission
Mappe (f)	briefcase
Margarine (f)	margarine
Marie	Mary
Marienkafer[Noun]	ladybug
Marine (f)	navy
Marke (f)	label
Markierung (f)	token
Markt (m)	market
Markt (m)	trade
Marktplatz[Noun]	marketplace
Marktplätze[Noun]	marketplaces
Marmelade (f)	jam
Marmelade[Noun]	marmalade
Marmeladen[Noun]	marmalades
Marsch	march
Martini (n)	martini
Masche (f)	stitch
Maschine (f)	engine
Maschinen[Noun]	machines
Maschinenausrüstung (f)	hardware
Maschinerie[Noun]	machinery
Maschinerien[Noun]	machineries
Maschinist, Maschinennäherin[Noun]	machinist
Maske (f)	mask
Maskulinum (n)	masculine
Massage (f)	massage
Master (m)	master
Mathematik (f)	mathematics
Matritze (f)	matrix
Matritze (f)	stencil
Matrose (m)	sailor
Mauer (f)	wall
Mauerblu.mchen[Noun]	wallflower
Maul (n)	mouth
Maulkorb (m)	muzzle
Maus (f)	mouse
Maximum (n)	maximum
Maßstab[Noun]	yardstick
Medikament (n)	drug
Meditation (f)	meditation
Medizin (f)	medicine
Meer (n)	ocean
Meer (n)	sea
Meerblick (m)	ocean view
Mehl (n)	flour
Mehrheit[Noun]	majority
Mehrzahl (f)	plural
Meile (f)	mile
Meilenstein[Noun]	milestone
Meilensteine[Noun]	milestones
Meinung[Noun]	opinion
Meister (m)	master
Meisterkarte (f)	Mastercard
Melone (f)	melon
Mensch (m)	person
Messe (f)	fair
Messer (n)	knife
Messuhr (f)	meter
Metallwaren (f)	hardware
Meter (n)	meter
Mexikaner (m)	Mexican
Mexiko	Mexico
Midsemester[Noun]	midsemester
Mietbetrag (m)	rental
Miete (f)	rent
Miete (f)	rental
Mietwohnung (f)	apartment
Mietwohnung (f)	flat
Mikado[Noun]	mikado
Mikail	Michael
Milch (f)	milk
Milchmann[Noun]	milkman
Milchmädchen[Noun]	milkmaid
Milchmädchen[Noun]	milkmaids
Milchwirtschaft (f)	dairy
Milieu[Noun]	milieu
Militarismen[Noun]	militarisms
Militarismus[Noun]	militarism
Militarist[Noun]	militarist
Militär[Noun]	military
Milizjustiz[Noun]	militia
Milliampere[Noun]	milliampere
Millionen[Noun]	millions
Minderheit[Noun]	minority
Minderheiten[Noun]	minorities
Mindestgang (m)	minimum speed
Minenarbeiter	miner
Minenfeld	minefield
Minenraeumer	minesweeper
Mineral (n)	mineral
Mineralien	minerals
Mineraloge	mineralogist
Mineralogen	mineralogists
Mineralogie	mineralogy
Mineralwasser (n)	mineral water
Minimalismus	minimalism
Minimierung	minimization
Minimum (n)	minimum
Minister (m)	minister
Ministerium (n)	department
Mischling	mongrel
Mischungsalat (m)	mixed salad
Missbrauchen	abusing
Missbrauchlich	abusively
Missbraucht	abuses
Mission (f)	mission
Missionar (m)	missionary
Mitarbeiter (m)	associate
Mitglied (n)	insider
Mitlaut (m)	consonant
Mitleid (n)	pity
Mittag (m)	noon
Mittag[Noun]	midday
Mittagessen (n)	lunch
Mittagessenbesprechung (f)	lunch meeting
Mittagessenkasten (m)	lunch box
Mitte (f)	medium
Mitte (f)	middle
Mittel (n)	medium
Mittelfeld[Noun]	midfield
Mittelfeldspieler[Noun]	midfielder
Mittelgewicht[Noun]	middleweight
Mittellinie[Noun]	midline
Mittelländer[Noun]	midlander
Mittelmeer (n)	Mediterranean Sea
Mittelpunkt (m)	middle
Mittelschiff[Noun]	midship
Mittelsitzplatz (m)	middle seat
Mittelweg[Noun]	midway
Mittelwort (n)	participle
Mitternacht (f)	midnight
Mittwoch (m)	Wednesday
Mißbrauch,Mißhandlung,mißbrauchen, mißhandeln, ausnutzen	abuse
Modell (n)	model
Modem (n)	modem
Mohrrübe (f)	carrot
Molkerei (f)	dairy
Monarch	monarch
Monarchie	monarchy
Monarchist	monarchist
Monat (m)	month
Montag	Monday
Montag	monday
Morgen (m)	morning
Morgen (n)	tomorrow
Morgens	in the morning
Morgenzeitung (f)	morning newspaper
Mortise (f)	nut
Motel (n)	motel
Motor (m)	engine
Motor (m)	motor
Motorhaube (f)	bonnet
Mull (m)	gauze
Mund (m)	mouth
Mundart (f)	dialect
Mundwasser (n)	mouthwash
Muschel[Noun]	shellfish
Muscheln (pl)	mussels
Muschelschale (f)	seashell
Museum (n)	museum
Musik (f)	music
Musikkapelle (f)	orchestra
Muskatblu.te[Noun]	mace
Muskel (m)	muscle
Muster (n)	model
Muster (n)	sample
Mutter (f)	mother
Mutter (f)	parent
Mutti	ma
Mädchen (n)	girl
Mädchen (n)	maid
Mädel (f)	girl
Mähler (pl)	meals
Männchen (n)	male
Männer (pl)	men
Märchen (n)	fairy tale
Märkte[Noun]	markets
März	march
Möbel  (pl)	furniture
Möhre (f)	carrot
Mühle (f)	mill
Mühle[Noun]	millhouse
Mühlweg[Noun]	millcourse
Müller[Noun]	miller
Müller[Noun]	millers
Mündung (f)	mouth
Mündung (f)	muzzle
Münzen (pl)	coins
Mütze (f)	bonnet
Mütze (f)	cap
Na.gel[Noun]	nails
Na.he[Noun]	nearness
Nabel (m)	navel
Nabel[Noun]	umbilicus
Nabelschnur, Kabelschlauch[Noun]	umbilical
Nachahmung (f)	take-off
Nachbar (m)	neighbor
Nachbarn[Noun]	neighbors
Nachbarschaft (f)	neighborhood
Nachbarschaft[Noun]	neighborship
Nachdruck verboten	copy-protected
Nachforschung (f)	quest
Nachlaß (m)	estate
Nachmittag	afternoon
Nachmittag (m)	afternoon
Nachmittagen	afternoons
Nachmittags	in the afternoon
Nachricht (f)	message
Nachrichten (pl)	news
Nachrichten (pl)	news magazines
Nacht (f)	night
Nachtflucht (f)	night flight
Nachtreisebus (m)	night coach
Nackte (m)	nude
Nacktheit[Noun]	nakedness
Nadel (f)	pin
Nadel[Noun]	needle
Nadeln[Noun]	needles
Nagel (m)	nail
Nagellack (m)	nail polish
Nagelschere (f)	nail clippers
Nahrung (f)	food
Name (m)	name
Name[Noun]	name
Namen[Noun]	names
Namensschild[Noun]	nameplate
Namensschilder[Noun]	nameplates
Namestift (m)	name tag
Nanometer[Noun]	nanometer
Nanometer[Noun]	nanometer
Nanometer[Noun]	nanometers
Nanometer[Noun]	nanometers
Nanosekunde	nanosecond
Nanosekunde	nanosecond
Nanosekunden[Noun]	nanoseconds
Nanosekunden[Noun]	nanoseconds
Narkose[Noun]	narcosis
Narkose[Noun]	narcosis
Narzisismus (m)[Noun]	narcissism
Nasalisierung[Noun]	nasalization
Nase (f)	nose
Nasenloch (n)	nostril
Nasetropfen (pl)	nose drops
Nastuch (n)	handkerchief
Nation (f)	nation
Nationalismen[Noun]	nationalisms
Nationalismus[Noun]	nationalism
Nationalist[Noun]	nationalist
Nationen, Staaten[Noun]	nations
Natur (f)	wildlife
Natur (f)[Noun]	nature
Nebengebaeude	annex
Nebentreppen, die[Noun]	backstairs
Neffe (m)	nephew
Negation[Noun]	negation
Neger (m)	negro
Nekrophilie[Noun]	necrophilia
Nekrose[Noun]	necrosis
Nekrosen[Noun]	necroses
Nektar[Noun]	nectar
Neofaschismus[Noun]	neofascism
Neoklassizismus[Noun]	neoclassicism
Neoliberalismus[Noun]	neoliberalism
Neon[Noun]	neon
Neopren[Noun]	neoprene
Nephrektomie[Noun]	nephrectomy
Nepotismus[Noun]	nepotism
Neptunium	neptunium
Nereide[Noun]	nereid
Nerv	nerve
Nervosita.t[Noun]	nervosity
Nerz (m)	mink
Nettwerk (n)	network
Netz	web
Netz (n)	net
Netz (n)	network
Netzbetreiber (m)	carrier
Netze (pl)	nets
Netzwerk (n)	network
Neuen (pl)	news
Neugierde[Noun]	curiosity
Neuigkeit (f)	news
Neujahrstag (m)	New Year's Day
Neuling[Noun]	neophyte
Nichtanerkennung[Noun]	unacknowledgment
Nichtanerkennungen[Noun]	unacknowledgments
Nichte (f)	niece
Nichtrauchenteil (m)	non-smoking section
Nichtraucher	no smoking
Nickerchen (n)	nap
Niederlage (f)	branch office
Niednagel (m)	hangnail
Niere[Noun]	kidney
Niet (f)	blank
Nikolaus	Nicholas
Nilpferd	hippo
Nipon	Japan
Nonne (f)	nun
Noppe (f)	nap
Norden (m)	north
Nordstaatler (m)	yankee
Not (f)	emergency
Not (f)	need
Notausgang (m)	emergency exit
Notausgang (m)	exit
Note (f)	note
Notfall (m)	emergency
Notizbuch (n)	diary
Notizbuch (n)	notebook
Notwendigkeit[Noun]	necessity
Notzimmer (m)	emergency room
November (m)	November
Nudeln (pl)	noodles
Null (f)	zero
Null, Nichts	zero
Nullen	zeros
Nullen[Noun]	zeroes
Nullpunkt (m)	zero
Nummer (f)	number
Nuten (m)	flute
Nutzbarkeit (f)	utility
Nuß (f)	nut
Nylon (n)	nylon
Nächstenliebe (f)	charity
Nächster (m)	next
Nächte (pl)	nights
Nähe (f)	sewing
Nähe (f)	stitch
Nüsse (f)	nuts
Nüster (f)	nostril
Nützlichkeit (f)	utility
OCR	OCR
Oase	oasis
Oasen	oases
Obelisk	obelisk
Ober (m)	waiter
Oberarm (m)	upper arm
Obergrenze (f)	limit
Oberkellner (m)	headwaiter
Oberschicht (f)	upper crust
Obhut (f)	charge
Objekt[Noun]	object
Objekte[Noun]	objects
Obliegenheit (f)	duty
Oboe[Noun]	oboe
Oboen[Noun]	oboes
Oboist[Noun]	oboist
Obrigkeit (f)	government
Observatorien[Noun]	observatories
Observatorium[Noun]	observatory
Obsidian[Noun]	obsidian
Obst (n)	fruit
Obstsaft (m)	fruit juice
Ochsenschanzsuppe (f)	oxtail soup
Ode[Noun]	ode
Oedem[Noun]	edema
Oedeme[Noun]	edemas
Ofen (m)	stove
Ohr (n)	ear
Ohren (pl)	ears
Ohrenkanal (m)	ear canal
Ohrenlappen (m)	ear lobe
Ohrenschmerzen (pl)	earache
Ohrenschützer[Noun]	earmuff
Ohrentropfen  (pl)	eardrop
Ohrentropfen  (pl)[Noun]	eardrop
Ohrmuschel[Noun]	earlobe
Ohrring (m)	earring
Ohrring (m)	earrings
Ohrring (m)[Noun]	earrings
Okarina[Noun]	ocarina
Okkultismus[Noun]	occultism
Oktagon[Noun]	octagon
Oktagone[Noun]	octagons
Oktan[Noun]	octane
Oktober	October
Oktopus[Noun]	octopus
Okzident[Noun]	occident
Oleomargarine (f)	margarine
Olive (f)	olive
Olivenöl (n)	olive oil
Ombudsman[Noun]	ombudsman
Omega[Noun]	omega
Omelett (n)	omelet
Omelette[Noun]	omelette
Omeletten[Noun]	omelets
Omen	omens
Omen[Noun]	omen
Omikron[Noun]	omicron
Omnibusfahrer (m)	bus driver
Onkel (m)	uncle
Onkologie[Noun]	oncology
Onyx (m)	onyx
Opal (m)	opal
Opale[Noun]	opals
Oper (f)	opera
Operation (f)	operation
Ophthalmologe	ophthalmologist
Ophthalmologie[Noun]	ophthalmology
Opiat[Noun]	opiate
Opiate[Noun]	opiates
Opium[Noun]	opium
Opportunismus[Noun]	opportunism
Opportunist[Noun]	opportunist
Optiker[Noun]	optician
Optiker[Noun]	opticians
Optimismus[Noun]	optimism
Optimist[Noun]	optimist
Optimisten[Noun]	optimists
Option (f)	option
Optionen[Noun]	options
Orange (f)	orange
Orchester (n)	orchestra
Ordnung (f)	order
Orient (m)	orient
Ort (m)	locality
Ort[Noun]	location
Ortschaft (f)	village
Osten (m)	east
Ostern (n)	Easter
Ostern[Noun]	easter
Ozean (m)	ocean
Ozeanblick (m)	ocean view
Ozeane[Noun]	oceans
Ozelot[Noun]	ocelot
PACKCHEN[Noun]	packet
PACKER[Noun]	packer
PAZIFIST[Noun]	pacificist
Pacht (f)	rent
Pacht[Noun]	lease
Packung (f)	package
Page (m)	bellhop
Page (m)	page
Paisley	paisley
Palatschinke (pl)	pancakes
Palme (f)	palm tree
Pamela	Pamela
Panama	Panama
Panne (f)	flat tire
Panther (m)	panther
Panzer[Noun]	armor
Panzer[Noun]	tank
Panzerkampfwagen[Noun]	tank
Panzermann; Panzertruppe[Noun]	tanker
Panzers[Noun]	tanks
Panzertruppen[Noun]	tankers
Papa, masc.[Noun]	daddy
Papier (n)	paper
Papiere (pl)	papers
Papierstanze (f)	paper punch
Papiertuch (n)	paper towel
Papst (m)	Pope
Parade (f)	parade
Paragraph (m)	paragraph
Paralleleluke (f)	parallel port
Parfüm (n)	perfume
Park (m)	park
Parka	parka
Parka (n)	parka
Parkgarage (f)	parking garage
Parkplatz (m)	parking
Parkplatz (m)	parking lot
Partei (f)	party
Parterre (n)	ground floor
Partizip (n)	participle
Partner (m)	partner
Partnerschaft (f)	partnership
Passion (f)	passion
Pasta (f)	pasta
Pastete (f)	pie
Pasteur (m)	pastor
Pastor (m)	minister
Patrone (f)	cartridge
Paulus	Paul
Pavian, -e	baboon
Pazifismus	pacifism
Pazifist	pacifist
Paß (m)	passport
Pecanobaeume	pecans
Pecanobaum	pecan
Pediküre (f)	pedicure
Pein (f)	pain
Peitsche	whip
Pelze  (pl)	furs
Penis (m)	penis
Penizillin (n)	penicillin
Pension (f)	guest house
Pension (f)	pension
Periode (f)	period
Perle (f)	pearl
Perlemutter (f)	mother of pearl
Perlen	pearls
Perou	Peru
Perru.cke	wig
Person (f)	person
Pessimist (m)	pessimist
Pfahl (m)	post
Pfahlmuschel[Noun]	abalone
Pfahlmuscheln[Noun]	abalones
Pfannkuchen (m)	pancakes
Pfarrer (m)	minister
Pfarrer (m)	priest
Pfeffer (m)	pepper
Pfeife[Noun]	whistle
Pfeiler (m)	pier
Pferd (n)	horse
Pfiff (m)	trick
Pfirsich (m)	peach
Pflanze (f)	plant
Pflanze (f)	vegetable
Pflanzung (f)	plantation
Pflaster (n)	adhesive bandage
Pflaster, das[Noun]	bandaid
Pflaume (f)	plum
Pflege (f)	care
Pflicht (f)	duty
Pflug (m)	plow
Pforte (f)	door
Pfund Sterling	Pounds Sterling
Pförtner (m)	doorman
Pförtner (m)	porter
Philosophie (f)	philosophy
Photoapparat (m)	camera
Photographie (f)	photograph
Pickel (m)	pimple
Pier (m)	pier
Pieter	Peter
Pilot (m)	pilot
Pilotenkanzel (f)	cockpit
Pilsener (m)	lager
Pilz (m)	mushroom
Pinguin[Noun]	penguin
Pinguine [Noun]	penguins
Pinie (f)	pine
Pinzette (pl)	tweezers
Pionier (m)	engineer
Piston (n)	nipple
Planet (m)	planet
Plantage (f)	plantation
Plastik (f)	plastic
Platte (f)	plate
Platte (f)	tray
Plattengeschäft (n)	record store
Platz (m)	plaza
Platz (m)	seat
Platz (m)	square
Platzkarten (pl)	reservations
Platznummer (f)	seat number
Plaudermaul (m)	gossip
Plunder (m)	trash
Plural (m)	plural
Plätteisen (n)	iron
Polen	Poland
Police (f)	policy
Politik (f)	policy
Politik (f)	politics
Politiker (m)	politician
Politur (f)	polish
Polizei (f)	police
Polizist (m)	police
Polizist (m)	policeman
Polsterer[Noun]	upholsterer
Polsterer[Noun]	upholsterers
Polstern[Noun]	upholstering
Polsterung, Polsterei[Noun]	upholstery
Pomeranze (f)	orange
Pommes frites (pl)	chips
Pommes frites (pl)	french fries
Pommes frites (pl)	potato chip
Portemonnaie (f)	purse
Portier (m)	doorman
Portier (m)	porter
Portion (f)	portion
Portion (f)	serving
Portionslöffel (m)	serving spoon
Portugal	Portugal
Portwein (m)	port
Porzellan (n)	china
Possenreisser (pl.), Blödmänner (pl.)[Noun]	zanies
Post (f)	mail
Post (f)	post
Post (f)	post office
Post, Briefe[Noun]	mailings
Postamt (n)	post office
Postanweisung (f)	money order
Postbote[Noun]	mailmen
Postfach (n)	post office box
Postflugzeug	mailplane
Postflugzeuge	mailplanes
Postkarte (f)	postcard
Postkoda (f)	postal code
Postsa.cke[Noun]	mailsacks
Postsack[Noun]	mailsack
Preis (m)	cost
Preis (m)	price
Preisgabe, Aufgabe, Hingabe	abandonment
Preisgabe, Verzicht[Noun]	abandonments
Presse (f)	press
Priester (m)	priest
Privatbad (n)	private bath
Privatflugzeug (n)	private plane
Privatscheck (m)	personal check
Privatstrand (m)	private beach
Probe (f)	audition
Probe (f)	sample
Probe (f)	trial
Problem (n)	hitch
Problem (n)	issue
Problem (n)	problem
Problem (n)	question
Produkt (n)	product
Produkte (pl)	products
Produktion (f)	production
Professor (m)	professor
Programm (n)	program
Programmiersprache (f)	program language
Projekt (n)	project
Prolet (m)	cad
Pronomen (n)	pronoun
Propellerflugzeug (n)	propeller-driven plane
Prost!	cheers!
Prostituierte (f)	prostitute
Protestant (m)	protestant
Prozent (n)	percentage
Prozentsatz (m)	percentage
Prozeß (m)	trial
